input_text,target_text
Quiero convencer a un cliente para que compre un tablet marca Apple,Potencia y estilo se unen en este tablet de Apple. Color negro, tamaño grande y excelente condición reacondicionado. Perfecto para hogar., tamaño grande, forma rectangular, hecho de metal, en estado reacondicionado, ideal para hogar., color negro, tamaño grande, forma rectangular, hecho de metal, en estado reacondicionado, ideal para hogar.","Potencia y estilo se unen en este tablet de Apple. Color negro, tamaño grande y excelente condición reacondicionado. Perfecto para hogar."
"Genera una descripción atractiva de este artículo: tablet,Potencia y estilo se unen en este tablet de Xiaomi. Color rojo, tamaño compacto y excelente condición nuevo. Perfecto para estudio., color rojo, tamaño compacto, forma ovalado, hecho de plástico, condición nuevo, perfecto para estudio.","Potencia y estilo se unen en este tablet de Xiaomi. Color rojo, tamaño compacto y excelente condición nuevo. Perfecto para estudio."
"Quiero convencer a un cliente para que compre un consola de videojuegos marca Apple, color verde, tamaño grande, forma circular, hecho de aluminio, en estado reacondicionado, ideal para hogar.","Con estructura de aluminio y diseño circular, este consola de videojuegos marca Apple ofrece gran rendimiento y estilo. Ideal para hogar. Se encuentra en estado reacondicionado."
"Genera una descripción atractiva de este artículo: proyector portátil, marca HP, color blanco, tamaño compacto, forma rectangular, hecho de vidrio, condición usado, perfecto para estudio.","Este proyector portátil fue diseñado para el uso en estudio, con cuerpo de vidrio y un elegante color blanco. Marca HP, estado: usado."
"Eres asesor de tecnología. Promociona un smartphone de la marca HP, color blanco, tamaño grande, con forma circular, material aluminio, estado nuevo, pensado para gaming.","Este smartphone fue diseñado para el uso en gaming, con cuerpo de aluminio y un elegante color blanco. Marca HP, estado: nuevo."
"Eres asesor de tecnología. Promociona un reloj inteligente de la marca Acer, color azul, tamaño grande, con forma ovalado, material aluminio, estado nuevo, pensado para oficina.","Este reloj inteligente de la marca Acer combina elegancia y funcionalidad. Su diseño ovalado, color azul y tamaño grande lo hacen ideal para oficina. Estado: nuevo."
"Eres asesor de tecnología. Promociona un mouse ergonómico de la marca Sony, color negro, tamaño compacto, con forma ovalado, material metal, estado usado, pensado para estudio.","Potencia y estilo se unen en este mouse ergonómico de Sony. Color negro, tamaño compacto y excelente condición usado. Perfecto para estudio."
Actúa como un vendedor profesional. Describe un producto: hub USB-C; marca: Lenovo; color: negro; tamaño: mediano; forma: cuadrado; material: vidrio; estado: nuevo; uso recomendado: oficina.,"Este hub USB-C de la marca Lenovo combina elegancia y funcionalidad. Su diseño cuadrado, color negro y tamaño mediano lo hacen ideal para oficina. Estado: nuevo."
"Genera una descripción atractiva de este artículo: silla gamer, marca Sony, color negro, tamaño mediano, forma cuadrado, hecho de plástico, condición nuevo, perfecto para hogar.","Con estructura de plástico y diseño cuadrado, este silla gamer marca Sony ofrece gran rendimiento y estilo. Ideal para hogar. Se encuentra en estado nuevo."
"Quiero convencer a un cliente para que compre un silla gamer marca HP, color blanco, tamaño compacto, forma ovalado, hecho de vidrio, en estado nuevo, ideal para oficina.","Este silla gamer fue diseñado para el uso en oficina, con cuerpo de vidrio y un elegante color blanco. Marca HP, estado: nuevo."
